big_text_cleaned,len
saffron,7
residency,9
ramlakshmamma,13
house,5
langer,6
house,5
malad,5
number,6
amahi,5
suites,6
towerf,6
heights,7
block,5
koramangala,11
bangalore,9
bhagirathi,10
apartmentsflat,14
studio,6
rooms,5
block,5
srinivasa,9
gents,5
block,5
riddhi,6
tower,5
amfotech,8
block,5
block,5
daffodil,8
hostel,6
panduram,8
house,5
floor,5
hotel,5
floor,5
anthony,7
church,6
tembipada,9
ambience,8
tiverton,8
flash,5
kulswamini,10
sector,6
airoli,6
mainroad,8
united,6
colony,6
gnanana,7
bharati,7
beeramguda,10
number,6
ishwarya,8
garden,6
apartment,9
amfotech,8
shashank,8
aadhya,6
signature,9
global,6
millennium,10
sector,6
clustermumbai,13
suburban,8
tojanki,7
kuthir,6
kuthir,6
raqib,5
manzil,6
bismillah,9
neeladiri,9
phase,5
street,6
nagar,5
ameerpeth,9
sapphire,8
heights,7
lokhandwala,11
townshipkandivali,17
sangeet,7
nagar,5
santham,7
colony,6
street,6
opposite,8
sarita,6
homes,5
madhukunj,9
society,7
nehru,5
place,5
block,5
fortale,7
living,6
highway,7
pavan,5
residency,9
phase,5
sector,6
building,8
miracle,7
hospital,8
block,5
haiderpur,9
market,6
cross,5
kormangala,10
block,5
dhakka,6
chowk,5
olympia,7
opaline,7
amfotech,8
shatrunjay,10
apartments,10
block,5
madiwala,8
studio,6
rooms,5
block,5
scheme,6
ultadanga,9
kolkata,7
block,5
sector,6
tulip,5
white,5
apartments,10
takshila,8
colony,6
bianca,6
aoreality,9
gundivali,9
cooperative,11
housing,7
society,7
siddhivinayak,13
darshan,7
dongripada,10
thane,5
floor,5
house,5
digambar,8
nagar,5
vasanth,7
nagar,5
ektha,5
prime,5
basil,5
heights,7
building,8
houses,6
devashirwad,11
building,8
laxmi,5
nagar,5
express,7
ramachandra,11
nilaya,6
sumukha,7
homes,5
krishnappa,10
layout,6
godrej,6
horizon,7
coast,5
behind,6
heights,7
evershine,9
cosmic,6
nandini,7
enclave,7
blocke,6
tiara,5
village,7
aakarsh,7
woods,5
apartment,9
building,8
vijaya,6
residency,9
blockg,6
adarsh,6
gardens,7
floor,5
nagri,5
bhens,5
dgali,5
chakki,6
panathur,8
konark,6
indrayu,7
enclave,7
phase,5
semmancheri,11
gareden,7
tower,5
colony,6
ameerpet,8
davis,5
pocket,6
himgiri,7
safalya,7
mandya,6
chicken,7
godrej,6
tranquil,8
gulab,5
mutton,6
mahatma,7
chowk,5
panchasheel,11
nagar,5
block,5
paschim,7
vihar,5
swami,5
vivekananda,11
block,5
eleganzia,9
royale,6
diamond,7
district,8
course,6
pearl,5
paradise,8
street,6
gnanana,7
bharati,7
rajarajeshwar,13
layout,6
palace,6
versova,7
fatima,6
masjid,6
lshapoorji,10
sukhobrishti,12
newtown,7
green,5
fields,6
colony,6
maheswari,9
nagar,5
hanumanthrao,12
building,8
divyajyothi,11
valley,6
arenja,6
