words,bad_probs,Thresh,Flag
4thmBlock,0.119796742,0.001333247,FALSE
yatharthtravels,0.108344193,0.001333247,FALSE
shrtston,0.105350211,0.001333247,FALSE
ramprth,0.103379001,0.001333247,FALSE
dakshndari,0.096937415,0.001333247,FALSE
pranshnt,0.096164718,0.001333247,FALSE
cllllllllllllllllllllllllllllllllllllllllllll,0.094527681,0.001333247,FALSE
prasshnt,0.094392611,0.001333247,FALSE
shtsssh,0.094040664,0.001333247,FALSE
dikashngr,0.093657749,0.001333247,FALSE
krtshna568,0.091058481,0.001333247,FALSE
pantmnt,0.090118743,0.001333247,FALSE
pandhvnagar,0.086954756,0.001333247,FALSE
Charflsta,0.085586313,0.001333247,FALSE
lansckrt,0.085204144,0.001333247,FALSE
univarsschool,0.0849505,0.001333247,FALSE
Siddharthghadage,0.083654916,0.001333247,FALSE
inantmsrt,0.083502271,0.001333247,FALSE
instrsmart,0.082671605,0.001333247,FALSE
dharampurGsss,0.081631986,0.001333247,FALSE
matherlondschool,0.081479174,0.001333247,FALSE
k.harshsvardhan,0.079425635,0.001333247,FALSE
anssssss,0.078655896,0.001333247,FALSE
panchgram,0.076871771,0.001333247,FALSE
nshsha,0.076624274,0.001333247,FALSE
plssssssssssssssssssssssssssssss,0.07625422,0.001333247,FALSE
mblockparkksks,0.075131268,0.001333247,FALSE
ksrthi,0.074769767,0.001333247,FALSE
16-11-679.Gaddiannaram.Dilshkhnagar,0.074229879,0.001333247,FALSE
vangdhra,0.07368612,0.001333247,FALSE
instkrart,0.073049775,0.001333247,FALSE
insktmart,0.072684222,0.001333247,FALSE
standddd,0.071801893,0.001333247,FALSE
vishnupllld,0.071727764,0.001333247,FALSE
pankrnt,0.071528373,0.001333247,FALSE
shanhhthivana,0.071500459,0.001333247,FALSE
ppppll,0.070973871,0.001333247,FALSE
Ennnnclllave,0.06945645,0.001333247,FALSE
vishnupppll,0.069323573,0.001333247,FALSE
motherlandschool,0.068691708,0.001333247,FALSE
jantmmsrt,0.068652194,0.001333247,FALSE
anshplaja,0.068327958,0.001333247,FALSE
isntmmart,0.06808228,0.001333247,FALSE
prbanstht,0.067805393,0.001333247,FALSE
"hansdhwani,bld,E-04",0.067514966,0.001333247,FALSE
grawndPhalor,0.067509483,0.001333247,FALSE
Panchthpi,0.067478795,0.001333247,FALSE
prtsseek,0.067142345,0.001333247,FALSE
5estllll,0.066575457,0.001333247,FALSE
brandxchange,0.066370174,0.001333247,FALSE
rtrtrttt,0.066187728,0.001333247,FALSE
inshsh,0.06547089,0.001333247,FALSE
oppllll,0.065417128,0.001333247,FALSE
1stffloor,0.065413528,0.001333247,FALSE
dilshknagar,0.06524837,0.001333247,FALSE
gagllls,0.065055405,0.001333247,FALSE
westrnpak,0.064345447,0.001333247,FALSE
vyasarvstreet,0.063831125,0.001333247,FALSE
kllllll,0.062787599,0.001333247,FALSE
youdhssh,0.062617558,0.001333247,FALSE
nathbhramma,0.062550469,0.001333247,FALSE
prshrnt,0.062457551,0.001333247,FALSE
modernschool,0.062435753,0.001333247,FALSE
JmJGRANDHALl,0.06236496,0.001333247,FALSE
"India,undefinedwestrnpak",0.062308881,0.001333247,FALSE
pranshtn,0.062265358,0.001333247,FALSE
kshssh,0.062251545,0.001333247,FALSE
devdhrshan,0.062055173,0.001333247,FALSE
sapthqgirinilaya,0.061859213,0.001333247,FALSE
