words,good_probs,Length,Thresh,Flag
hcpcv,0.001333247,5,0.05409819,TRUE
cvhcq,0.00151912,5,0.05409819,TRUE
gpvcp,0.001623765,5,0.05409819,TRUE
cpfpc,0.001676381,5,0.05409819,TRUE
gvcmvq,0.001815297,6,0.05409819,TRUE
wpcpx,0.001879806,5,0.05409819,TRUE
hcgpv,0.001880457,5,0.05409819,TRUE
gcmcm,0.001920984,5,0.05409819,TRUE
vhbcs,0.00192805,5,0.05409819,TRUE
cvgpg,0.001944815,5,0.05409819,TRUE
hgccv,0.0019513,5,0.05409819,TRUE
pccmcf,0.001951783,6,0.05409819,TRUE
vvhcx,0.002035359,5,0.05409819,TRUE
fcpcv,0.002049813,5,0.05409819,TRUE
pcwpx,0.002055126,5,0.05409819,TRUE
mcpgm,0.002061618,5,0.05409819,TRUE
cfhhg,0.002073238,5,0.05409819,TRUE
vpvccj,0.002100038,6,0.05409819,TRUE
vhcpmj,0.00210178,6,0.05409819,TRUE
pcfcv,0.002133964,5,0.05409819,TRUE
vcjcx,0.002135538,5,0.05409819,TRUE
hfgpj,0.002164713,5,0.05409819,TRUE
ccpfv,0.002171916,5,0.05409819,TRUE
gcmhx,0.002176099,5,0.05409819,TRUE
vgcvw,0.002211857,5,0.05409819,TRUE
ccwcf,0.002214187,5,0.05409819,TRUE
ccfpw,0.002220516,5,0.05409819,TRUE
cpmcgc,0.00223408,6,0.05409819,TRUE
mcvwc,0.00223654,5,0.05409819,TRUE
cgfhx,0.002243398,5,0.05409819,TRUE
cgcvv,0.002247494,5,0.05409819,TRUE
cgpwg,0.002250528,5,0.05409819,TRUE
cvwvm,0.00226428,5,0.05409819,TRUE
cvhjf,0.002277507,5,0.05409819,TRUE
hsltd,0.002283053,5,0.05409819,TRUE
hcwpg,0.002305882,5,0.05409819,TRUE
vpgcf,0.002311405,5,0.05409819,TRUE
ccjvx,0.002316834,5,0.05409819,TRUE
jcpccj,0.002322105,6,0.05409819,TRUE
hfpmf,0.002332183,5,0.05409819,TRUE
pvtltd,0.002344941,6,0.05409819,TRUE
hcfvvwq,0.002355105,7,0.05409819,TRUE
cgvrx,0.002355719,5,0.05409819,TRUE
gvccfm,0.002361751,6,0.05409819,TRUE
cfpmf,0.002370243,5,0.05409819,TRUE
rxvhf,0.002430645,5,0.05409819,TRUE
dlfdlf,0.002447157,6,0.05409819,TRUE
vhjrq,0.002460829,5,0.05409819,TRUE
gcfcv,0.002485246,5,0.05409819,TRUE
vhgmc,0.002492988,5,0.05409819,TRUE
gxhcf,0.002496371,5,0.05409819,TRUE
ggpfvf,0.002521926,6,0.05409819,TRUE
vhvfpj,0.00252845,6,0.05409819,TRUE
vgmww,0.002528918,5,0.05409819,TRUE
wpcvv,0.002534461,5,0.05409819,TRUE
vmwpx,0.002541262,5,0.05409819,TRUE
cgvvpg,0.002553438,6,0.05409819,TRUE
wpjvcx,0.002572526,6,0.05409819,TRUE
rxvpq,0.002577088,5,0.05409819,TRUE
cmmcpj,0.002578983,6,0.05409819,TRUE
cgwvf,0.002585713,5,0.05409819,TRUE
cccmj,0.002601777,5,0.05409819,TRUE
vxhcw,0.002606344,5,0.05409819,TRUE
wpjvcf,0.002640119,6,0.05409819,TRUE
wgpwpg,0.002655559,6,0.05409819,TRUE
hgvqmq,0.002674009,6,0.05409819,TRUE
vpwmcp,0.002677993,6,0.05409819,TRUE
hcpmxfj,0.002679477,7,0.05409819,TRUE
vfpjq,0.002683482,5,0.05409819,TRUE
vhgjf,0.002684165,5,0.05409819,TRUE
hcfvwm,0.002686369,6,0.05409819,TRUE
wmgcpw,0.002704793,6,0.05409819,TRUE
mqcpfp,0.002706702,6,0.05409819,TRUE
ggpwg,0.002716706,5,0.05409819,TRUE
wpgvq,0.002718985,5,0.05409819,TRUE
iiitd,0.002719022,5,0.05409819,TRUE
cgvhfg,0.002724857,6,0.05409819,TRUE
vmvvq,0.002725363,5,0.05409819,TRUE
vggmx,0.00272568,5,0.05409819,TRUE
vwgmvh,0.002729789,6,0.05409819,TRUE
cpvqgx,0.002734833,6,0.05409819,TRUE
hfvhh,0.002755388,5,0.05409819,TRUE
hcqvq,0.002763391,5,0.05409819,TRUE
vmhhgp,0.002763398,6,0.05409819,TRUE
wgvwg,0.002767436,5,0.05409819,TRUE
ccwcc,0.002769019,5,0.05409819,TRUE
vhqcpvc,0.002769219,7,0.05409819,TRUE
hxgvq,0.002771602,5,0.05409819,TRUE
jcvcgw,0.002772877,6,0.05409819,TRUE
cgjvq,0.002792048,5,0.05409819,TRUE
wpmvw,0.002798404,5,0.05409819,TRUE
fpwvg,0.002800224,5,0.05409819,TRUE
wgjgpfj,0.002804303,7,0.05409819,TRUE
vmgcx,0.002818316,5,0.05409819,TRUE
fcvcgg,0.00282132,6,0.05409819,TRUE
pcjpq,0.002824368,5,0.05409819,TRUE
pcpqx,0.002834315,5,0.05409819,TRUE
wmcgx,0.0028378,5,0.05409819,TRUE
jcwcgq,0.002839496,6,0.05409819,TRUE
jhbcs,0.002847917,5,0.05409819,TRUE
ccgvp,0.002864382,5,0.05409819,TRUE
cwcmqj,0.002867179,6,0.05409819,TRUE
wcqrq,0.002872991,5,0.05409819,TRUE
jcgpw,0.002876694,5,0.05409819,TRUE
vwcvmh,0.002876998,6,0.05409819,TRUE
hxhvx,0.002889617,5,0.05409819,TRUE
cgwwx,0.002893657,5,0.05409819,TRUE
pmcjc,0.002900872,5,0.05409819,TRUE
pqcpc,0.002905406,5,0.05409819,TRUE
gvpggm,0.002906773,6,0.05409819,TRUE
ggmwx,0.002909838,5,0.05409819,TRUE
wgvmv,0.002934304,5,0.05409819,TRUE
cgfgj,0.002951105,5,0.05409819,TRUE
wpvvfp,0.003002447,6,0.05409819,TRUE
cgcjfh,0.003008134,6,0.05409819,TRUE
cjfvq,0.003019582,5,0.05409819,TRUE
gccggp,0.003020611,6,0.05409819,TRUE
wpvpc,0.003024971,5,0.05409819,TRUE
cwcjr,0.003030238,5,0.05409819,TRUE
hpwvp,0.003030459,5,0.05409819,TRUE
wpgpwj,0.003036002,6,0.05409819,TRUE
wmcgcw,0.003046957,6,0.05409819,TRUE
jcgvc,0.003048522,5,0.05409819,TRUE
wpmhx,0.003051567,5,0.05409819,TRUE
rqhhfm,0.003061842,6,0.05409819,TRUE
jcgccp,0.003066562,6,0.05409819,TRUE
vcjhpm,0.003072531,6,0.05409819,TRUE
cwmhf,0.003080917,5,0.05409819,TRUE
jcwcwv,0.003082264,6,0.05409819,TRUE
vgfcf,0.003101529,5,0.05409819,TRUE
gwwpwx,0.003116721,6,0.05409819,TRUE
rpjcj,0.00312606,5,0.05409819,TRUE
fgwvx,0.00314449,5,0.05409819,TRUE
rqpvv,0.003150399,5,0.05409819,TRUE
gxvpq,0.003173467,5,0.05409819,TRUE
vfgmc,0.003179405,5,0.05409819,TRUE
ccvxjhx,0.003209604,7,0.05409819,TRUE
fwfmx,0.003210519,5,0.05409819,TRUE
wmhgj,0.003210773,5,0.05409819,TRUE
fvvwx,0.003215588,5,0.05409819,TRUE
vgfjrq,0.003215811,6,0.05409819,TRUE
wmwpw,0.003219833,5,0.05409819,TRUE
hgmxq,0.00321999,5,0.05409819,TRUE
gwcfvg,0.003225949,6,0.05409819,TRUE
fcxgpfj,0.003231727,7,0.05409819,TRUE
vmfvf,0.003253711,5,0.05409819,TRUE
fhvvq,0.003253757,5,0.05409819,TRUE
gpxvm,0.00325596,5,0.05409819,TRUE
jjcpj,0.003267272,5,0.05409819,TRUE
gxvwv,0.003272549,5,0.05409819,TRUE
cjcfjv,0.003276022,6,0.05409819,TRUE
ggmgj,0.003281566,5,0.05409819,TRUE
hcppf,0.003284724,5,0.05409819,TRUE
xhvcv,0.003286753,5,0.05409819,TRUE
rpvgvm,0.003289852,6,0.05409819,TRUE
jcgpfjv,0.003311789,7,0.05409819,TRUE
vjvcfw,0.003312982,6,0.05409819,TRUE
vmxgj,0.003320534,5,0.05409819,TRUE
hqhhg,0.003320953,5,0.05409819,TRUE
fggcv,0.003322183,5,0.05409819,TRUE
vwcmr,0.003325553,5,0.05409819,TRUE
wpggvv,0.00333157,6,0.05409819,TRUE
fcqrx,0.003332162,5,0.05409819,TRUE
wggqrx,0.003344455,6,0.05409819,TRUE
vhjvj,0.003346017,5,0.05409819,TRUE
fhjjrq,0.003354275,6,0.05409819,TRUE
cgqgvw,0.003360635,6,0.05409819,TRUE
fwwvv,0.003361757,5,0.05409819,TRUE
fwmvc,0.003390193,5,0.05409819,TRUE
rmwmx,0.003392698,5,0.05409819,TRUE
wjcwcm,0.003394632,6,0.05409819,TRUE
fgcwf,0.003395861,5,0.05409819,TRUE
rrrrx,0.0034058,5,0.05409819,TRUE
jfgcq,0.003408983,5,0.05409819,TRUE
vvcmmj,0.003413145,6,0.05409819,TRUE
jhvcf,0.003414999,5,0.05409819,TRUE
wwgfv,0.003422055,5,0.05409819,TRUE
wmcgmc,0.003430004,6,0.05409819,TRUE
vhcqg,0.003442374,5,0.05409819,TRUE
fwpvfm,0.003448998,6,0.05409819,TRUE
rmxrx,0.003451996,5,0.05409819,TRUE
ccjjx,0.003456039,5,0.05409819,TRUE
gvjfhc,0.003472896,6,0.05409819,TRUE
hfqhhj,0.003475057,6,0.05409819,TRUE
gcccjr,0.00347649,6,0.05409819,TRUE
cxwhcvf,0.003481192,7,0.05409819,TRUE
vggqrq,0.003483933,6,0.05409819,TRUE
gwvgw,0.003512498,5,0.05409819,TRUE
vbhcs,0.003513279,5,0.05409819,TRUE
vmfcw,0.003515164,5,0.05409819,TRUE
wmfcjcp,0.00352522,7,0.05409819,TRUE
wpfvfc,0.003535109,6,0.05409819,TRUE
wgvrf,0.003536529,5,0.05409819,TRUE
jvhfq,0.003540045,5,0.05409819,TRUE
gwpjx,0.003558214,5,0.05409819,TRUE
wpvhv,0.003559352,5,0.05409819,TRUE
vhwvpmx,0.003569267,7,0.05409819,TRUE
fcfgv,0.003570396,5,0.05409819,TRUE
cwjcwx,0.003581636,6,0.05409819,TRUE
vhfjc,0.003584708,5,0.05409819,TRUE
cpchhx,0.003592377,6,0.05409819,TRUE
fgcmh,0.003594775,5,0.05409819,TRUE
vmxrf,0.003596525,5,0.05409819,TRUE
hqmcw,0.003608084,5,0.05409819,TRUE
wmjgcq,0.003608151,6,0.05409819,TRUE
cwfrx,0.003625488,5,0.05409819,TRUE
fgxhf,0.003625507,5,0.05409819,TRUE
ccvfhw,0.003629223,6,0.05409819,TRUE
cgwfx,0.003632725,5,0.05409819,TRUE
vmggcg,0.003637212,6,0.05409819,TRUE
hhqrf,0.003637949,5,0.05409819,TRUE
cwxgf,0.003656997,5,0.05409819,TRUE
wpwfh,0.003661774,5,0.05409819,TRUE
jcvvxh,0.003680474,6,0.05409819,TRUE
vjxwvcv,0.003697243,7,0.05409819,TRUE
vjpgcq,0.003701774,6,0.05409819,TRUE
rqrfw,0.003716156,5,0.05409819,TRUE
jfccm,0.003723282,5,0.05409819,TRUE
wpvvj,0.003730817,5,0.05409819,TRUE
cqhjq,0.003734673,5,0.05409819,TRUE
fmhvf,0.003742738,5,0.05409819,TRUE
wpjvg,0.003775021,5,0.05409819,TRUE
vhcphh,0.003777915,6,0.05409819,TRUE
wpmwwr,0.003782725,6,0.05409819,TRUE
hfqmwx,0.003784464,6,0.05409819,TRUE
wjpcfhq,0.003787145,7,0.05409819,TRUE
fxgpq,0.003795341,5,0.05409819,TRUE
gvsls,0.003805967,5,0.05409819,TRUE
cfrhj,0.003811014,5,0.05409819,TRUE
pcxjq,0.003818954,5,0.05409819,TRUE
rqjcm,0.003823544,5,0.05409819,TRUE
fcqfpf,0.003826316,6,0.05409819,TRUE
rwwmc,0.003830021,5,0.05409819,TRUE
vvgxh,0.003832669,5,0.05409819,TRUE
vgwfhjm,0.00383456,7,0.05409819,TRUE
wmwfwf,0.003843097,6,0.05409819,TRUE
mqcjf,0.003850644,5,0.05409819,TRUE
vmmvmq,0.003853364,6,0.05409819,TRUE
mhfjq,0.003853379,5,0.05409819,TRUE
hvvrf,0.003855117,5,0.05409819,TRUE
cgfwj,0.003860455,5,0.05409819,TRUE
fcmmvw,0.003864143,6,0.05409819,TRUE
cgqhh,0.003864627,5,0.05409819,TRUE
cggvjf,0.003874163,6,0.05409819,TRUE
wrxgv,0.00388999,5,0.05409819,TRUE
ccvhxp,0.003891992,6,0.05409819,TRUE
fpvxcg,0.003893121,6,0.05409819,TRUE
vmfjx,0.003897996,5,0.05409819,TRUE
ccxrh,0.003899771,5,0.05409819,TRUE
xhjcf,0.003902312,5,0.05409819,TRUE
cjmxv,0.00390371,5,0.05409819,TRUE
wmwjgq,0.003906305,6,0.05409819,TRUE
cwjwq,0.003907999,5,0.05409819,TRUE
pggwj,0.003910353,5,0.05409819,TRUE
gcvrxc,0.003912517,6,0.05409819,TRUE
whfpw,0.00391777,5,0.05409819,TRUE
hxrwv,0.003918103,5,0.05409819,TRUE
fhvfc,0.003929362,5,0.05409819,TRUE
fcwgg,0.003943026,5,0.05409819,TRUE
cxwpg,0.003943801,5,0.05409819,TRUE
wmwfhp,0.003947398,6,0.05409819,TRUE
vhjjg,0.003947875,5,0.05409819,TRUE
rrpvv,0.003948392,5,0.05409819,TRUE
hjpmg,0.003950311,5,0.05409819,TRUE
cxgjgw,0.003951631,6,0.05409819,TRUE
rrwgm,0.003956559,5,0.05409819,TRUE
gpfqv,0.003964209,5,0.05409819,TRUE
fhqhg,0.003964891,5,0.05409819,TRUE
vmgjw,0.003975041,5,0.05409819,TRUE
rqfwq,0.003982614,5,0.05409819,TRUE
vhgjxf,0.003982923,6,0.05409819,TRUE
rwmhq,0.003986583,5,0.05409819,TRUE
gqfpg,0.003987902,5,0.05409819,TRUE
fvmhfx,0.003988069,6,0.05409819,TRUE
whcvxv,0.004001807,6,0.05409819,TRUE
wpwfg,0.004008738,5,0.05409819,TRUE
fjhhfq,0.004014225,6,0.05409819,TRUE
rmxcpg,0.004018523,6,0.05409819,TRUE
fmxcv,0.004022277,5,0.05409819,TRUE
vmwpxf,0.004022492,6,0.05409819,TRUE
fcwfw,0.004024772,5,0.05409819,TRUE
vjpmcgp,0.004027566,7,0.05409819,TRUE
gvjvg,0.004041546,5,0.05409819,TRUE
fpvrwg,0.004044582,6,0.05409819,TRUE
wgpqf,0.004044848,5,0.05409819,TRUE
mqfcp,0.004054386,5,0.05409819,TRUE
rmcfhp,0.004054423,6,0.05409819,TRUE
cvrgp,0.004068431,5,0.05409819,TRUE
vgggc,0.004076813,5,0.05409819,TRUE
wmhfmg,0.004079418,6,0.05409819,TRUE
cgfvjq,0.004083501,6,0.05409819,TRUE
gwxcpm,0.004085544,6,0.05409819,TRUE
jcjwc,0.004085717,5,0.05409819,TRUE
vfmjc,0.004093657,5,0.05409819,TRUE
wpwjcw,0.004093658,6,0.05409819,TRUE
vjpmcf,0.004100458,6,0.05409819,TRUE
vmqpjj,0.004103731,6,0.05409819,TRUE
wjpccm,0.004109322,6,0.05409819,TRUE
rjrhjx,0.00411351,6,0.05409819,TRUE
gmhjr,0.004120357,5,0.05409819,TRUE
mcwxw,0.004130245,5,0.05409819,TRUE
mqhjj,0.004131406,5,0.05409819,TRUE
hqcjwg,0.00414622,6,0.05409819,TRUE
wjcpxj,0.004148019,6,0.05409819,TRUE
wvmxr,0.004150086,5,0.05409819,TRUE
wpjvj,0.004152394,5,0.05409819,TRUE
cjmcjp,0.004153552,6,0.05409819,TRUE
fcjpq,0.004158813,5,0.05409819,TRUE
rmvgjw,0.004166345,6,0.05409819,TRUE
hjjvj,0.004180561,5,0.05409819,TRUE
ggjcc,0.004191343,5,0.05409819,TRUE
gvmxfx,0.004192959,6,0.05409819,TRUE
cvjwp,0.004199139,5,0.05409819,TRUE
cxcfm,0.00420462,5,0.05409819,TRUE
gvwqh,0.004213418,5,0.05409819,TRUE
gvpqj,0.004216848,5,0.05409819,TRUE
fjvvp,0.004218735,5,0.05409819,TRUE
gmqwg,0.004225425,5,0.05409819,TRUE
wpxcp,0.004229716,5,0.05409819,TRUE
wjfpg,0.004238322,5,0.05409819,TRUE
vjwgv,0.004238422,5,0.05409819,TRUE
wpxvh,0.00426023,5,0.05409819,TRUE
wjfpv,0.004264246,5,0.05409819,TRUE
cfmwrm,0.004272066,6,0.05409819,TRUE
jcxvw,0.004286333,5,0.05409819,TRUE
hwcgj,0.004293648,5,0.05409819,TRUE
vgwfg,0.004296956,5,0.05409819,TRUE
cwjwf,0.004300682,5,0.05409819,TRUE
wvrqgp,0.004307792,6,0.05409819,TRUE
hqfcm,0.004309933,5,0.05409819,TRUE
vmjhq,0.004313519,5,0.05409819,TRUE
rvgvp,0.004314109,5,0.05409819,TRUE
cggqcc,0.004316786,6,0.05409819,TRUE
hwvvc,0.004320478,5,0.05409819,TRUE
hgwqr,0.004325622,5,0.05409819,TRUE
ccxcfg,0.004327447,6,0.05409819,TRUE
rjqwcpv,0.004331771,7,0.05409819,TRUE
rpmvr,0.004334752,5,0.05409819,TRUE
svsrccb,0.004337182,7,0.05409819,TRUE
cgxfvg,0.004341203,6,0.05409819,TRUE
fcqvgm,0.004341505,6,0.05409819,TRUE
vjpcfx,0.00434635,6,0.05409819,TRUE
xhfvv,0.004352703,5,0.05409819,TRUE
mfvxj,0.004355202,5,0.05409819,TRUE
wmqwgp,0.004359745,6,0.05409819,TRUE
vgjqcf,0.004361382,6,0.05409819,TRUE
gwrqpv,0.004368199,6,0.05409819,TRUE
vjvcqr,0.00437086,6,0.05409819,TRUE
rgqpx,0.004372953,5,0.05409819,TRUE
xpmxgpq,0.004384749,7,0.05409819,TRUE
gqrxj,0.004386137,5,0.05409819,TRUE
gwcqg,0.004386207,5,0.05409819,TRUE
wpgjh,0.004388837,5,0.05409819,TRUE
mgpqg,0.004389555,5,0.05409819,TRUE
vphgx,0.004389902,5,0.05409819,TRUE
wjgmv,0.004392599,5,0.05409819,TRUE
xfpjcf,0.004395173,6,0.05409819,TRUE
wmggvj,0.004398458,6,0.05409819,TRUE
gqcgxg,0.004401965,6,0.05409819,TRUE
fhfjh,0.004406792,5,0.05409819,TRUE
gcxcg,0.004414919,5,0.05409819,TRUE
gvvmmf,0.004418709,6,0.05409819,TRUE
wpqfgvq,0.004422076,7,0.05409819,TRUE
hfvqf,0.004422412,5,0.05409819,TRUE
ltdcst,0.004425848,6,0.05409819,TRUE
cgrfpx,0.004427908,6,0.05409819,TRUE
fcjpg,0.004428488,5,0.05409819,TRUE
vjhvx,0.004436283,5,0.05409819,TRUE
mqgfm,0.004440033,5,0.05409819,TRUE
rjwwg,0.004448221,5,0.05409819,TRUE
chcmw,0.004452767,5,0.05409819,TRUE
hqvmc,0.004457233,5,0.05409819,TRUE
vpjjc,0.004460577,5,0.05409819,TRUE
gwvxwj,0.004461858,6,0.05409819,TRUE
vhqmj,0.004465113,5,0.05409819,TRUE
ggxwg,0.004466424,5,0.05409819,TRUE
bhbcs,0.004466497,5,0.05409819,TRUE
wmgfq,0.004469235,5,0.05409819,TRUE
vhvxf,0.004473195,5,0.05409819,TRUE
wjcmwr,0.004473851,6,0.05409819,TRUE
pchcv,0.004475986,5,0.05409819,TRUE
fhwcwx,0.004486452,6,0.05409819,TRUE
hpqgp,0.004488864,5,0.05409819,TRUE
gfgwm,0.004491958,5,0.05409819,TRUE
gwxgf,0.004503266,5,0.05409819,TRUE
gjrcv,0.004509925,5,0.05409819,TRUE
cgcvwxm,0.004511513,7,0.05409819,TRUE
gvjfq,0.004514042,5,0.05409819,TRUE
hxfwc,0.004519233,5,0.05409819,TRUE
mcmpg,0.004526747,5,0.05409819,TRUE
rcqpj,0.004528435,5,0.05409819,TRUE
jrfxhx,0.004529299,6,0.05409819,TRUE
wpqpg,0.004529823,5,0.05409819,TRUE
hfjvhm,0.004532343,6,0.05409819,TRUE
wqhfm,0.004534316,5,0.05409819,TRUE
vmxgfjr,0.004543029,7,0.05409819,TRUE
fmqvp,0.004548327,5,0.05409819,TRUE
cgvjh,0.004555551,5,0.05409819,TRUE
hqrfv,0.00457996,5,0.05409819,TRUE
hqrwvp,0.004581065,6,0.05409819,TRUE
fvgxw,0.004583178,5,0.05409819,TRUE
gxjvmj,0.00458581,6,0.05409819,TRUE
rmqpw,0.004587843,5,0.05409819,TRUE
fcgjm,0.004591974,5,0.05409819,TRUE
hwfmq,0.004592201,5,0.05409819,TRUE
vjxhj,0.004597407,5,0.05409819,TRUE
mcqjpx,0.004602477,6,0.05409819,TRUE
fhxjmcc,0.004613707,7,0.05409819,TRUE
rjrwrx,0.004628831,6,0.05409819,TRUE
vmxcg,0.004630221,5,0.05409819,TRUE
vmrfcg,0.004630846,6,0.05409819,TRUE
jfggp,0.004631709,5,0.05409819,TRUE
jcgcqg,0.004632416,6,0.05409819,TRUE
gvrqw,0.004639357,5,0.05409819,TRUE
